INCNUMBER,OFFENSECODE,Beat #,Service Area,MICRCODE,Offense Description,NIBRS Maping,NIBRS Category,NIBRS GRP,OFFENSETITLE,DATEOFOFFENSE,Day of week,Weapon Type,INCIDENT LOCATION BLOCK ADDRESS,Month
22-070318,1313,W6,West,13001,Non-Aggravated Assault,Simple Assault,Crimes Against Person,Assault Offenses,A and B / SIMPLE ASSAULT,12/12/2022 08:41:33 PM,Monday,Personal Weapons,200 BLOCK GUNNISON AV SW,December
22-070320,1380,C3,Central,13003,Intimidation/Stalking,Intimidation,Crimes Against Person,Assault Offenses,"TELEPHONE USED TO HARASS, THREAT",12/12/2022 05:30:00 PM,Monday,None,300 BLOCK DIVISION AV,December
22-070378,1178,W1,West,11008,Sexual Contact Forcible CSC 4th,Fondling,Crimes Against Person,Sex Offenses,CSC 4TH DEGREE - FORCIBLE CONTACT,12/13/2022 03:57:35 AM,Tuesday,Personal Weapons,1200 BLOCK HILLBURN AV NW,December
22-070383,1313,S4,South,13001,Non-Aggravated Assault,Simple Assault,Crimes Against Person,Assault Offenses,A and B / SIMPLE ASSAULT,12/13/2022 04:30:59 AM,Tuesday,Personal Weapons,600 BLOCK WORDEN ST SE,December
22-070209,1173,N7,North,11003,Sexual penetration Oral/Anal CSC 1st,Sodomy,Crimes Against Person,Sex Offenses,CSC 1ST -SEXUAL PENETRATION ORAL/ANAL,12/07/2022 11:59:00 PM,Wednesday,None,300 BLOCK PARIS AV SE,December
22-070421,1376,W4,West,13003,Intimidation/Stalking,Intimidation,Crimes Against Person,Assault Offenses,"Intentional Threat To Commit Act of: Violence Against School, School Employee or Students",12/13/2022 10:33:03 AM,Tuesday,None,1400 BLOCK DAVIS AV NW,December
22-070459,1313,W5,West,13001,Non-Aggravated Assault,Simple Assault,Crimes Against Person,Assault Offenses,A and B / SIMPLE ASSAULT,12/13/2022 02:31:59 PM,Tuesday,Personal Weapons,700 BLOCK 1ST ST NW,December
22-070475,1313,S3,South,13001,Non-Aggravated Assault,Simple Assault,Crimes Against Person,Assault Offenses,A and B / SIMPLE ASSAULT,12/13/2022 03:43:20 PM,Tuesday,Personal Weapons,1200 BLOCK CASS AV SE,December
22-070525,1380,E5,East,13003,Intimidation/Stalking,Intimidation,Crimes Against Person,Assault Offenses,"TELEPHONE USED TO HARASS, THREAT",12/13/2022 05:30:00 PM,Tuesday,None,2900 BLOCK MARSHALL AV SE,December
22-070615,1178,N2,North,11008,Sexual Contact Forcible CSC 4th,Fondling,Crimes Against Person,Sex Offenses,CSC 4TH DEGREE - FORCIBLE CONTACT,12/13/2022 04:00:00 PM,Tuesday,Handgun,1600 BLOCK PLAINFIELD AV NE,December
22-070618,1313,N1,North,13001,Non-Aggravated Assault,Simple Assault,Crimes Against Person,Assault Offenses,A and B / SIMPLE ASSAULT,12/13/2022 06:15:00 PM,Tuesday,Personal Weapons,2200 BLOCK PLAINFIELD AV NE,December
22-070686,1176,W3,West,11006,Sexual Penetration Object Csc 3rd,Sexual Assault with an object,Crimes Against Person,Sex Offenses,CSC 3RD - SEXUAL PENETRATION OBJECT,12/13/2022 11:00:00 PM,Tuesday,Personal Weapons,900 BLOCK CROSBY ST NW,December
22-070702,1376,C3,Central,13003,Intimidation/Stalking,Intimidation,Crimes Against Person,Assault Offenses,"Intentional Threat To Commit Act of: Violence Against School, School Employee or Students",11/22/2022 03:00:00 PM,Tuesday,None,300 BLOCK SHELDON AV SE,November
22-070731,1313,E7,East,13001,Non-Aggravated Assault,Simple Assault,Crimes Against Person,Assault Offenses,A and B / SIMPLE ASSAULT,12/14/2022 08:20:33 PM,Wednesday,Personal Weapons,500 BLOCK NAYLOR ST SW,December
22-070778,1313,N8,North,13001,Non-Aggravated Assault,Simple Assault,Crimes Against Person,Assault Offenses,A and B / SIMPLE ASSAULT,12/15/2022 01:53:01 AM,Thursday,Personal Weapons,700 BLOCK MICHIGAN ST NE,December
22-070787,1172,N2,North,11002,Sexual Penetration Penis/Vagina CSC 3rd,Rape,Crimes Against Person,Sex Offenses,CSC 3RD - SEXUAL PENETRATION PENIS/VAGINA,12/15/2022 03:35:27 AM,Thursday,None,400 BLOCK QUIMBY ST NE,December
22-070803,1304,S4,South,13002,Aggravated Assault,Aggravated Assault,Crimes Against Person,Assault Offenses,AGGRAVATED ASSAULT NON-FAM - GUN,12/15/2022 07:55:12 AM,Thursday,Handgun,500 BLOCK HOWARD ST SE,December
22-070837,1313,S7,South,13001,Non-Aggravated Assault,Simple Assault,Crimes Against Person,Assault Offenses,A and B / SIMPLE ASSAULT,12/15/2022 11:39:13 AM,Thursday,Personal Weapons,DIVISION AV  & DELAWARE ST SE,December
22-070845,1304,E2,East,13002,Aggravated Assault,Aggravated Assault,Crimes Against Person,Assault Offenses,AGGRAVATED ASSAULT NON-FAM - GUN,12/15/2022 11:55:58 AM,Thursday,Firearm (type unknown),28TH ST SE & KALAMAZOO AV SE,December
22-070870,1384,N4,North,13003,Intimidation/Stalking,Intimidation,Crimes Against Person,Assault Offenses,"COMPUTER/INTERNET USED FOR HARASSMENT, THREATS",12/15/2022 01:23:53 PM,Thursday,None,500 BLOCK HOPSON ST NE,December
22-070881,1177,E1,East,11007,Sexual Contact Forcible CSC 2nd,Fondling,Crimes Against Person,Sex Offenses,CSC 2ND DEGREE - FORCIBLE CONTACT,12/15/2022 01:48:21 PM,Thursday,None,600 BLOCK DICKINSON ST SE,December
22-070915,1313,S6,South,13001,Non-Aggravated Assault,Simple Assault,Crimes Against Person,Assault Offenses,A and B / SIMPLE ASSAULT,12/15/2022 04:40:52 PM,Thursday,Personal Weapons,1100 BLOCK ALEXANDER ST SE,December
22-070946,1313,E6,East,13001,Non-Aggravated Assault,Simple Assault,Crimes Against Person,Assault Offenses,A and B / SIMPLE ASSAULT,12/15/2022 08:18:19 PM,Thursday,Personal Weapons,4300 BLOCK DAWES CT SE,December
22-070995,1313,S6,South,13001,Non-Aggravated Assault,Simple Assault,Crimes Against Person,Assault Offenses,A and B / SIMPLE ASSAULT,12/16/2022 12:33:00 AM,Friday,Personal Weapons,900 BLOCK ALEXANDER ST SE,December
22-071004,1380,N8,North,13003,Intimidation/Stalking,Intimidation,Crimes Against Person,Assault Offenses,"TELEPHONE USED TO HARASS, THREAT",12/16/2022 02:39:00 AM,Friday,None,600 BLOCK ATWOOD ST NE,December
22-071056,1313,E4,East,13001,Non-Aggravated Assault,Simple Assault,Crimes Against Person,Assault Offenses,A and B / SIMPLE ASSAULT,12/16/2022 11:04:37 AM,Friday,Unknown,2100 BLOCK RAYBROOK AV SE,December
22-071061,1099,N6,North,10001,Kidnapping/Abduction,Kidnapping/Abduction,Crimes Against Person,Kidnapping/Abduction,KIDNAPPING (OTHER),12/16/2022 11:23:14 AM,Friday,None,1900 BLOCK MICHIGAN ST NE,December
22-071075,1313,S8,South,13001,Non-Aggravated Assault,Simple Assault,Crimes Against Person,Assault Offenses,A and B / SIMPLE ASSAULT,12/16/2022 12:50:24 PM,Friday,Personal Weapons,300 BLOCK RUMSEY ST SW,December
22-071096,1313,N2,North,13001,Non-Aggravated Assault,Simple Assault,Crimes Against Person,Assault Offenses,A and B / SIMPLE ASSAULT,12/16/2022 03:35:15 PM,Friday,None,200 BLOCK PALMER ST NE,December
22-071127,1303,E4,East,13002,Aggravated Assault,Aggravated Assault,Crimes Against Person,Assault Offenses,AGGRAVATED ASSAULT FAMILY STRONG ARM,10/08/2022 11:59:00 PM,Saturday,Personal Weapons,2400 BLOCK WOODCLIFF AV SE,October
22-071135,1313,W4,West,13001,Non-Aggravated Assault,Simple Assault,Crimes Against Person,Assault Offenses,A and B / SIMPLE ASSAULT,12/16/2022 07:00:00 PM,Friday,Personal Weapons,600 BLOCK STOCKING AV NW,December
22-071140,1305,N2,North,13002,Aggravated Assault,Aggravated Assault,Crimes Against Person,Assault Offenses,AGGRAVATED ASSAULT NON-FAM OTHER WEAPON,12/16/2022 07:24:09 PM,Friday,Other,1000 BLOCK PAGE ST NE,December
22-071194,1396,S4,South,13002,Aggravated Assault,Aggravated Assault,Crimes Against Person,Assault Offenses,ASSAULT LESS THAN MURDER - GBH,12/17/2022 12:42:07 AM,Saturday,Personal Weapons,600 BLOCK EASTERN AV SE,December
22-071240,1313,E5,East,13001,Non-Aggravated Assault,Simple Assault,Crimes Against Person,Assault Offenses,A and B / SIMPLE ASSAULT,12/17/2022 06:53:56 AM,Saturday,Personal Weapons,2900 BLOCK MARSHALL AV SE,December
22-071270,1313,C2,Central,13001,Non-Aggravated Assault,Simple Assault,Crimes Against Person,Assault Offenses,A and B / SIMPLE ASSAULT,12/17/2022 11:39:42 AM,Saturday,Personal Weapons,100 BLOCK LIBRARY ST NE,December
22-071272,1301,S3,South,13002,Aggravated Assault,Aggravated Assault,Crimes Against Person,Assault Offenses,AGGRAVATED ASSAULT FAMILY - GUN,12/17/2022 11:45:17 AM,Saturday,Handgun,1400 BLOCK LAFAYETTE AV SE,December
22-071288,1302,W4,West,13002,Aggravated Assault,Aggravated Assault,Crimes Against Person,Assault Offenses,AGGRAVATED ASSAULT FAMILY - OTHER WEAPON,12/17/2022 01:19:46 PM,Saturday,Knife/Cutting Instrument,800 BLOCK LEONARD ST NW,December
