INCNUMBER,OFFENSECODE,Beat #,Service Area,MICRCODE,Offense Description,NIBRS Maping,NIBRS Category,NIBRS GRP,OFFENSETITLE,DATEOFOFFENSE,Day of week,Weapon Type,INCIDENT LOCATION BLOCK ADDRESS,Month
21-062206,3542,S4,South,35001,Violation of Controlled Substance Act,Drug/Narcotic Violations,Crimes Against Society,Drug/Narcotic Offenses,Synthetic Narcotic - Possess,10/11/2021 12:00:00 AM,Monday,None,700 BLOCK OAKDALE ST SE,October
21-062276,5213,S4,South,52003,"Weapon Offense, Other",Weapon Law Violations,Crimes Against Society,Weapon Law Violations,"WEAPON FIRING (CARELESS, RECKLESS, HEEDLESS, ETC)",10/12/2021 12:00:00 AM,Tuesday,Firearm (type unknown),ALEXANDER ST SE & UNION AV SE,October
21-062206,5299,S4,South,52003,"Weapon Offense, Other",Weapon Law Violations,Crimes Against Society,Weapon Law Violations,WEAPONS OFFENSE (OTHER),10/11/2021 12:00:00 AM,Monday,Handgun,700 BLOCK OAKDALE ST SE,October
21-062422,3532,C3,Central,35001,Violation of Controlled Substance Act,Drug/Narcotic Violations,Crimes Against Society,Drug/Narcotic Offenses,Cocaine - Possess,10/12/2021 07:00:00 PM,Tuesday,None,IONIA AV SW & WILLIAMS ST SW,October
21-062504,5295,E1,East,52001,"Weapons Offense, Concealed",Weapon Law Violations,Crimes Against Society,Weapon Law Violations,CCW - AUTO (WEAPON),10/13/2021 03:07:00 AM,Wednesday,Handgun,EASTERN AV SE & HAZEN ST SE,October
21-062765,3599,E7,East,35001,Violation of Controlled Substance Act,Drug/Narcotic Violations,Crimes Against Society,Drug/Narcotic Offenses,Dangerous Drugs (Or Maintain Drug House),10/14/2021 08:42:44 AM,Thursday,None,CENTURY AV SW & CROFTON ST SW,October
21-062781,5202,N5,North,52001,"Weapons Offense, Concealed",Weapon Law Violations,Crimes Against Society,Weapon Law Violations,CARRYING CONCEALED WEAPON (PERSON),10/14/2021 11:53:44 AM,Thursday,Handgun,1800 BLOCK PLUM HOLLOW LN NE,October
21-062781,5299,N5,North,52003,"Weapon Offense, Other",Weapon Law Violations,Crimes Against Society,Weapon Law Violations,WEAPONS OFFENSE (OTHER),10/14/2021 11:53:44 AM,Thursday,Handgun,1800 BLOCK PLUM HOLLOW LN NE,October
21-063053,5213,W6,West,52003,"Weapon Offense, Other",Weapon Law Violations,Crimes Against Society,Weapon Law Violations,"WEAPON FIRING (CARELESS, RECKLESS, HEEDLESS, ETC)",10/15/2021 06:22:05 PM,Friday,Firearm (type unknown),400 BLOCK INDIANA AV SW,October
21-063082,5295,N3,North,52001,"Weapons Offense, Concealed",Weapon Law Violations,Crimes Against Society,Weapon Law Violations,CCW - AUTO (WEAPON),10/16/2021 12:00:00 AM,Saturday,Handgun,1100 BLOCK COLLEGE AV NE,October
21-063116,3532,C2,Central,35001,Violation of Controlled Substance Act,Drug/Narcotic Violations,Crimes Against Society,Drug/Narcotic Offenses,Cocaine - Possess,10/16/2021 02:02:59 AM,Saturday,None,0 BLOCK MONROE AV NW,October
21-063119,5213,W3,West,52003,"Weapon Offense, Other",Weapon Law Violations,Crimes Against Society,Weapon Law Violations,"WEAPON FIRING (CARELESS, RECKLESS, HEEDLESS, ETC)",10/16/2021 12:26:30 AM,Saturday,Handgun,11TH ST NW & GARFIELD AV NW,October
21-063191,3542,S7,South,35001,Violation of Controlled Substance Act,Drug/Narcotic Violations,Crimes Against Society,Drug/Narcotic Offenses,Synthetic Narcotic - Possess,10/16/2021 08:30:00 AM,Saturday,None,0 BLOCK ANTOINE ST SW,October
21-063236,3532,W6,West,35001,Violation of Controlled Substance Act,Drug/Narcotic Violations,Crimes Against Society,Drug/Narcotic Offenses,Cocaine - Possess,10/16/2021 02:30:00 PM,Saturday,None,1000 BLOCK WATSON ST SW,October
21-063236,3547,W6,West,35001,Violation of Controlled Substance Act,Drug/Narcotic Violations,Crimes Against Society,Drug/Narcotic Offenses,Methamphetamine - Possess,10/16/2021 02:30:00 PM,Saturday,None,1000 BLOCK WATSON ST SW,October
21-063287,5213,W5,West,52003,"Weapon Offense, Other",Weapon Law Violations,Crimes Against Society,Weapon Law Violations,"WEAPON FIRING (CARELESS, RECKLESS, HEEDLESS, ETC)",10/16/2021 07:54:21 PM,Saturday,Firearm (type unknown),400 BLOCK ALABAMA AV NW,October
21-063296,5295,S4,South,52001,"Weapons Offense, Concealed",Weapon Law Violations,Crimes Against Society,Weapon Law Violations,CCW - AUTO (WEAPON),10/17/2021 12:00:00 AM,Sunday,Handgun,600 BLOCK FRANKLIN ST SE,October
