Geo,Group,Date,Year,Population,Tested,Pct_Tested,EBLL,Pct_EBLL,CEBLL,Pct_CEBLL,VEBLL,Pct_VEBLL,Ven_5_9,Pct_Ven_5_9,Ven_10_14,Pct_Ven_10_14,Ven_15_19,Pct_Ven_15_19,Ven_20_39,Pct_Ven_20_39,Ven_GTE_40,Pct_Ven_GTE_40
48015,Children 1-2,2017,2017,,85,,,,0,0,,,,,0,0,0,0,0,0,0,0
48015,Children 1-2,2018,2018,,86,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48015,Children 1-2,2019,2019,,111,,,,,,,,,,0,0,0,0,0,0,0,0
48015,Children 1-2,2020,2020,,72,,,,,,,,,,0,0,0,0,0,0,0,0
48015,Children < 6,2010,2010,,123,,,,,,,,,,,,0,0,0,0,0,0
48015,Children < 6,2011,2011,471,104,0.221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48015,Children < 6,2012,2012,460,121,0.263,,,,,0,0,0,0,0,0,0,0,0,0,0,0
48015,Children < 6,2013,2013,489,105,0.215,,,,,0,0,0,0,0,0,0,0,0,0,0,0
48015,Children < 6,2014,2014,438,112,0.256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48015,Children < 6,2015,2015,490,138,0.282,,,,,,,0,0,0,0,0,0,,,0,0
48015,Children < 6,2016,2016,481,127,0.264,,,0,0,,,,,0,0,0,0,0,0,0,0
48015,Children < 6,2017,2017,576,138,0.24,,,,,,,,,0,0,0,0,0,0,0,0
48015,Children < 6,2018,2018,576,135,0.234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48015,Children < 6,2019,2019,357,159,0.445,,,,,,,,,0,0,0,0,0,0,0,0
48015,Children < 6,2020,2020,,108,,,,,,,,,,0,0,0,0,0,0,0,0
48017,Children 1-2,2010,2010,,103,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
48017,Children 1-2,2011,2011,,99,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
48017,Children 1-2,2012,2012,,73,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
48017,Children 1-2,2013,2013,,95,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48017,Children 1-2,2014,2014,,84,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48017,Children 1-2,2015,2015,,89,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48017,Children 1-2,2016,2016,,87,,,,0,0,,,0,0,,,0,0,0,0,0,0
48017,Children 1-2,2017,2017,,93,,,,,,,,0,0,,,0,0,0,0,0,0
48017,Children 1-2,2018,2018,,78,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48017,Children 1-2,2019,2019,,76,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
